Words,Polarity,Subjectivity,Positive,Negative,Neutral
have,0,0,0,0,1
their,0,0,0,0,1
story,0,0,0,0,1
collection,0,0,0,0,1
published,0,0,0,0,1
in,0,0,0,0,1
canada,0,0,0,0,1
they,0,0,0,0,1
grew,0,0,0,0,1
like,0,0,0,0,1
during,0,0,0,0,0
the,0,0,0,0,0
pandemic,0,0,0,0,0
and,0,0,0,0,0
now,0,0,0,0,0
this,0,0,0,0,0
bcbased,0,0,0,0,0
meatless,0,0,0,0,0
meat,0,0,0,0,0
company,0,0,0,0,0
is,0,0,0,0,0
coming,0,0,0,0,0
to,0,0,0,0,0
ontario,0,0,0,0,0
and,0,0,0,0,0
the,0,0,0,0,0
continent,0,0,0,0,0
